OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
284963,Marfan syndrome type 1,All ages,Autosomal dominant,3,4
284984,Aneurysm-osteoarthritis syndrome,All ages,Autosomal dominant,3,13
284979,Neonatal Marfan syndrome,"Infancy, Neonatal",Autosomal dominant,2,8
289365,Familial vesicoureteral reflux,All ages,Autosomal dominant,3,4
289347,Infective dermatitis associated with HTLV-1,Childhood,Not applicable,2,14
289356,Primary non-gestational choriocarcinoma of ovary,Adolescent,Unknown,3,6
289377,Early-onset myopathy with fatal cardiomyopathy,"Infancy, Neonatal",Autosomal recessive,1,12
289380,Myosclerosis,Childhood,Autosomal recessive,2,1
289290,Hypermethioninemia encephalopathy due to adenosine kinase deficiency,Childhood,Autosomal recessive,2,1
289266,Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation,Childhood,Autosomal dominant,2,1
289326,Tropical spastic paraparesis,Adult,Not applicable,3,5
289307,Developmental delay due to methylmalonate semialdehyde dehydrogenase deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
289504,Combined malonic and methylmalonic acidemia,All ages,"Autosomal dominant, Autosomal recessive",3,4
289499,Congenital cataract microcornea with corneal opacity,"Infancy, Neonatal",Autosomal recessive,1,12
289494,4H leukodystrophy,"Adolescent, Adult, Childhood, Infancy",Unknown,2,14
289522,Microtriplication 11q24.1 syndrome,Childhood,Unknown,2,14
289513,12q15q21 microdeletion syndrome,"Infancy, Neonatal",Autosomal dominant,2,1
289465,Isolated congenital adermatoglyphia,"Infancy, Neonatal",Autosomal dominant,2,8
289390,Primary Sjögren disease,Adult,Not applicable,3,10
289385,Malignancy diagnosed during pregnancy,Adult,Unknown,3,6
289483,Intellectual disability-alacrima-achalasia syndrome,"Infancy, Neonatal",X-linked recessive,2,8
289478,PASH syndrome,Adult,No data available,3,0
289176,Autosomal recessive hypophosphatemic rickets,"Childhood, Infancy",Autosomal recessive,2,12
289157,Hypocalcemic vitamin D-dependent rickets,"Infancy, Neonatal",Autosomal recessive,1,12
280926,Systemic diseases with anterior uveitis,"Adolescent, Adult, Childhood, Elderly",Unknown,2,14
280921,Idiopathic panuveitis,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,14
280898,Panuveitis,All ages,Not applicable,3,10
280892,Posterior uveitis,All ages,Not applicable,3,10
280886,Anterior uveitis,All ages,Not applicable,3,10
281097,Autosomal recessive congenital ichthyosis,"Infancy, Neonatal",Autosomal recessive,1,2
281090,Syndromic recessive X-linked ichthyosis,Childhood,X-linked recessive,2,8
281210,X-linked ichthyosis syndrome,Unknown,"Not applicable, X-linked dominant, X-linked recessive",3,9
281190,Congenital reticular ichthyosiform erythroderma,Neonatal,Autosomal dominant,3,1
281201,Keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome,"Infancy, Neonatal",Autosomal recessive,1,12
281139,Annular epidermolytic ichthyosis,"Infancy, Neonatal",Autosomal dominant,2,1
281122,Self-improving collodion baby,Neonatal,Autosomal recessive,1,2
