OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
652,Multiple endocrine neoplasia type 1,All ages,"Autosomal dominant, Not applicable",3
908,Fragile X syndrome,"Childhood, Infancy, Neonatal",X-linked dominant,2
3099,Rheumatic fever,Childhood,Not applicable,2
739,Prader-Willi syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
47,X-linked agammaglobulinemia,Childhood,X-linked recessive,2
580,Mucopolysaccharidosis type 2,Childhood,X-linked recessive,2
579,Mucopolysaccharidosis type 1,All ages,Autosomal recessive,3
905,Wilson disease,"Adolescent, Adult, Childhood, Elderly",Autosomal recessive,2
792,X-linked retinoschisis,"Adolescent, Adult, Childhood, Infancy",X-linked recessive,2
163525,Subacute cutaneous lupus erythematosus,"Adult, Elderly",,3
827,Stargardt disease,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive",2
163531,Chronic cutaneous lupus erythematosus,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial,2
906,Wiskott-Aldrich syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",1
904,Williams syndrome,"Antenatal, Neonatal",Autosomal dominant,3
280,Wolf-Hirschhorn syndrome,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable",3
162516,Isolated congenital nasal pyriform aperture stenosis,Neonatal,,3
15,Achondroplasia,"Antenatal, Neonatal",Autosomal dominant,3
96,Ataxia with vitamin E deficiency,All ages,Autosomal recessive,3
101,Dentatorubral pallidoluysian atrophy,All ages,Autosomal dominant,3
783,Rubinstein-Taybi syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown",3
163649,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive,1
631,Non-acquired isolated growth hormone deficiency,Neonatal,"Autosomal dominant, Autosomal recessive, X-linked recessive",1
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,Neonatal,X-linked recessive,3
163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,"Infancy, Neonatal",Unknown,2
481,Kennedy disease,Adult,X-linked recessive,3
664,Ornithine transcarbamylase deficiency,All ages,X-linked recessive,3
163668,"Spondyloepiphyseal dysplasia, MacDermot type","Infancy, Neonatal",Autosomal dominant,2
163662,"Spondyloepiphyseal dysplasia, Reardon type","Infancy, Neonatal",Autosomal dominant,2
394,Homocystinuria due to cystathionine beta-synthase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive,2
163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",Childhood,Autosomal recessive,2
508,Donohue syndrome,"Antenatal, Neonatal",Autosomal recessive,1
436,Hypophosphatasia,All ages,"Autosomal dominant, Autosomal recessive",3
163596,Hemoglobin Bart's fetalis syndrome,"Antenatal, Neonatal",Autosomal recessive,1
429,Hypochondroplasia,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2
437,Hypophosphatemic rickets,All ages,"Autosomal dominant, Autosomal recessive, X-linked dominant",3
104,Leber hereditary optic neuropathy,"Adolescent, Adult",Mitochondrial inheritance,3
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,"Antenatal, Neonatal",X-linked recessive,3
163634,Maffucci syndrome,Childhood,Not applicable,2
163717,Familial mesial temporal lobe epilepsy,"Adolescent, Adult",Autosomal dominant,3
163708,Cryptogenic late-onset epileptic spasms,Childhood,,2
636,Neurofibromatosis type 1,"Infancy, Neonatal",Autosomal dominant,2
163703,Febrile infection-related epilepsy syndrome,All ages,Not applicable,3
649,Norrie disease,"Antenatal, Neonatal",X-linked recessive,3
163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,Infancy,Autosomal recessive,2
163721,Rolandic epilepsy-speech dyspraxia syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, X-linked dominant",2
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,Childhood,Autosomal recessive,2
163681,CNTNAP2-related developmental and epileptic encephalopathy,Infancy,Autosomal recessive,2
379,Chronic granulomatous disease,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive",2
16,Blue cone monochromatism,Infancy,X-linked recessive,2
644,NARP syndrome,Childhood,Mitochondrial inheritance,2
163699,Alveolar soft tissue sarcoma,All ages,Not applicable,3
637,Full NF2-related schwannomatosis,All ages,Autosomal dominant,3
163696,Action myoclonus-renal failure syndrome,"Adolescent, Adult",Autosomal recessive,3
181,X-linked hypohidrotic ectodermal dysplasia,"Childhood, Infancy",X-linked recessive,2
163693,2p21 microdeletion syndrome,"Infancy, Neonatal",Autosomal recessive,1
163690,Hypotonia-cystinuria syndrome,"Infancy, Neonatal",Autosomal recessive,1
337,Fibrodysplasia ossificans progressiva,Childhood,"Autosomal dominant, Not applicable",2
377,Gorlin syndrome,"Adolescent, Adult",Autosomal dominant,3
648,Noonan syndrome,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
281,Monosomy 5p syndrome,Antenatal,"Not applicable, Unknown",3
752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency","Adolescent, Neonatal",Autosomal recessive,1
214,Cystinuria,All ages,"Autosomal recessive, Semi-dominant",3
510,Lesch-Nyhan syndrome,Infancy,X-linked recessive,2
524,Li-Fraumeni syndrome,All ages,Autosomal dominant,3
699,Pearson syndrome,"Childhood, Infancy, Neonatal","Mitochondrial inheritance, Not applicable",2
640,Hereditary neuropathy with liability to pressure palsies,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant,2
60,Alpha-1-antitrypsin deficiency,All ages,Autosomal recessive,3
895,Waardenburg syndrome type 2,Neonatal,Autosomal dominant,3
896,Waardenburg syndrome type 3,Neonatal,"Autosomal dominant, Autosomal recessive",1
857,Townes-Brocks syndrome,All ages,Autosomal dominant,3
894,Waardenburg syndrome type 1,Neonatal,Autosomal dominant,3
682,Hyperkalemic periodic paralysis,Childhood,Autosomal dominant,2
800,Schwartz-Jampel syndrome,"Infancy, Neonatal",Autosomal recessive,1
628,Diastrophic dysplasia,"Antenatal, Neonatal",Autosomal recessive,1
673,Malaria,All ages,Not applicable,3
681,Hypokalemic periodic paralysis,"Adolescent, Childhood",Autosomal dominant,2
126,Blepharophimosis-ptosis-epicanthus inversus syndrome,Antenatal,"Autosomal dominant, Not applicable",3
107,BOR syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2
774,Hereditary hemorrhagic telangiectasia,All ages,Autosomal dominant,3
794,Saethre-Chotzen syndrome,"Antenatal, Neonatal",Autosomal dominant,3
710,Pfeiffer syndrome,"Antenatal, Neonatal",Autosomal dominant,3
2869,Peutz-Jeghers syndrome,"Adolescent, Adult, Childhood",Autosomal dominant,2
893,WAGR syndrome,"Antenatal, Neonatal",Autosomal dominant,3
912,Zellweger syndrome,Neonatal,Autosomal recessive,1
50,Aicardi syndrome,Neonatal,X-linked dominant,3
53,Albers-Schönberg osteopetrosis,Childhood,Autosomal dominant,2
14,Abetalipoproteinemia,"Childhood, Infancy",Autosomal recessive,2
52,Alagille syndrome,All ages,Autosomal dominant,3
167,Chédiak-Higashi syndrome,Childhood,Autosomal recessive,2
195,Cat-eye syndrome,"Antenatal, Neonatal",Not applicable,3
207,Crouzon syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2
205,Crigler-Najjar syndrome,"Infancy, Neonatal",Autosomal recessive,1
160148,Cap polyposis,"Adolescent, Adult, Childhood, Elderly",Not applicable,2
201,Cowden syndrome,All ages,Autosomal dominant,3
192,Coffin-Lowry syndrome,"Childhood, Infancy, Neonatal",X-linked dominant,2
2442,X-linked lymphoproliferative disease,"Adolescent, Adult, Childhood, Infancy",X-linked recessive,2
169808,Mild hemophilia A,"Infancy, Neonatal",X-linked recessive,2
169802,Severe hemophilia A,"Infancy, Neonatal",X-linked recessive,2
169805,Moderate hemophilia A,"Infancy, Neonatal",X-linked recessive,2
562,McCune-Albright syndrome,Childhood,Not applicable,2
565,Menkes disease,Neonatal,X-linked recessive,3
2443,Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies,All ages,Autosomal recessive,3
474,Jeune syndrome,"Antenatal, Neonatal",Autosomal recessive,1
540,Familial hemophagocytic lymphohistiocytosis,"Adolescent, Infancy",Autosomal recessive,2
568,"Microphthalmia, Lenz type",Neonatal,X-linked recessive,3
564,Meckel syndrome,Antenatal,Autosomal recessive,1
289,Ellis Van Creveld syndrome,"Antenatal, Neonatal",Autosomal recessive,1
258,Laminin subunit alpha 2-related congenital muscular dystrophy,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
1247,Schistosomiasis,All ages,Not applicable,3
112,Bartter syndrome,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1
1646,Chromosome Y microdeletion syndrome,Adult,"Not applicable, Y-linked",3
169464,Primary CD59 deficiency,"Infancy, Neonatal",Autosomal recessive,1
99,Autosomal dominant cerebellar ataxia,All ages,Autosomal dominant,3
116,Beckwith-Wiedemann syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown",3
87,Apert syndrome,"Antenatal, Neonatal",Autosomal dominant,3
97,Familial paroxysmal ataxia,Childhood,Autosomal dominant,2
169467,Recurrent Neisseria infections due to factor D deficiency,,Autosomal recessive,3
313,Lamellar ichthyosis,Neonatal,"Autosomal dominant, Autosomal recessive",1
169799,Mild hemophilia B,"Infancy, Neonatal",X-linked recessive,2
169796,Moderate hemophilia B,"Infancy, Neonatal",X-linked recessive,2
169793,Severe hemophilia B,"Infancy, Neonatal",X-linked recessive,2
1000,Ocular albinism with late-onset sensorineural deafness,Adult,X-linked recessive,3
999,Ermine phenotype,Neonatal,Autosomal recessive,1
171430,Severe congenital nemaline myopathy,"Infancy, Neonatal",Autosomal recessive,1
171433,Intermediate nemaline myopathy,Neonatal,"Autosomal dominant, Autosomal recessive",1
171436,Typical nemaline myopathy,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
171439,Childhood-onset nemaline myopathy,Childhood,Autosomal dominant,2
55,Oculocutaneous albinism,Neonatal,Autosomal recessive,1
171442,Adult-onset nemaline myopathy,Adult,Not applicable,3
171445,Muscle filaminopathy,Adult,Autosomal dominant,3
171607,X-linked spastic paraplegia type 34,"Adolescent, Adult, Childhood",X-linked recessive,2
2771,Bruck syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1
171612,Autosomal dominant spastic paraplegia type 37,All ages,Autosomal dominant,3
171617,Autosomal dominant spastic paraplegia type 38,Childhood,Autosomal dominant,2
1349,Mitochondrial DNA-related cardiomyopathy and hearing loss,"Adult, Childhood",Mitochondrial inheritance,2
171622,Autosomal recessive spastic paraplegia type 32,Childhood,Autosomal recessive,2
171629,Autosomal recessive spastic paraplegia type 35,"Adolescent, Childhood",Autosomal recessive,2
861,Treacher-Collins syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
308,Progressive myoclonic epilepsy type 1,"Adolescent, Childhood",Autosomal recessive,2
199,Cornelia de Lange syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable, X-linked recessive",3
2162,Holoprosencephaly,"Antenatal, Neonatal","Autosomal recessive, Multigenic/multifactorial, Not applicable, Oligogenic, X-linked dominant",1
930,Idiopathic achalasia,All ages,"Autosomal recessive, Not applicable",3
998,Albinism-deafness syndrome,Neonatal,X-linked recessive,3
1727,22q11.2 duplication syndrome,All ages,Autosomal dominant,3
169079,Cernunnos-XLF deficiency,"Infancy, Neonatal",Autosomal recessive,1
1716,Distal duplication 18q syndrome,"Antenatal, Neonatal",,3
1715,Trisomy 18p syndrome,"Adolescent, Adult, Childhood, Infancy",,2
3380,Trisomy 18 syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3
168984,CLAPO syndrome,"Antenatal, Infancy, Neonatal",Unknown,2
1707,Distal duplication 15q syndrome,"Antenatal, Neonatal",,3
168999,Malignant melanoma of the mucosa,"Adult, Elderly",,3
3378,Trisomy 13 syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3
169100,Immunodeficiency due to CD25 deficiency,Infancy,Autosomal recessive,2
169105,Thymoma-hypogammaglobulinemia syndrome,Adult,,3
169090,Combined immunodeficiency due to CRAC channel dysfunction,"Infancy, Neonatal",Autosomal recessive,1
236,Trisomy 9p syndrome,"Antenatal, Neonatal",,3
169095,Severe combined immunodeficiency due to FOXN1 deficiency,"Infancy, Neonatal",Autosomal recessive,1
169082,Combined immunodeficiency due to CD3gamma deficiency,Infancy,Autosomal recessive,2
169085,Susceptibility to respiratory infections associated with CD8alpha chain mutation,"Infancy, Neonatal",Autosomal recessive,1
168829,Primary peritoneal carcinoma,Adult,Unknown,3
168816,Peritoneal inclusion cyst,Adult,Unknown,3
753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency","Adolescent, Childhood, Infancy, Neonatal",Autosomal recessive,1
868,Triose phosphate-isomerase deficiency,Neonatal,Autosomal recessive,1
168811,Malignant peritoneal mesothelioma,Adult,"Multigenic/multifactorial, Not applicable",3
218,Darier disease,"Adolescent, Adult, Childhood",Autosomal dominant,2
168796,"Heart-hand syndrome, Slovenian type",Adult,Autosomal dominant,3
1465,Coffin-Siris syndrome,"Antenatal, Neonatal",Autosomal dominant,3
168782,Childhood disintegrative disorder,Childhood,Not applicable,2
1642,Distal deletion 9p syndrome,"Infancy, Neonatal",,2
168966,Composite lymphoma,"Adult, Elderly",,3
168960,Refractory anemia with excess blasts in transformation,"Adolescent, Adult, Elderly",,3
8,"47,XYY syndrome",All ages,Not applicable,3
1636,Distal monosomy 7q36 syndrome,"Antenatal, Neonatal",,3
168956,Hypereosinophilic syndrome,All ages,"Not applicable, Unknown",3
1600,Monosomy 18q syndrome,"Antenatal, Neonatal",Autosomal dominant,3
1598,Monosomy 18p syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2
168940,Chronic eosinophilic leukemia,"Adolescent, Adult, Childhood",Not applicable,2
2773,Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,"Infancy, Neonatal",Unknown,2
2772,Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,"Antenatal, Neonatal",Autosomal recessive,1
2609,Isolated complex I deficiency,All ages,"Autosomal recessive, Mitochondrial inheritance, X-linked dominant",3
626,Large/giant congenital melanocytic nevus,"Infancy, Neonatal",Multigenic/multifactorial,2
773,Adult Refsum disease,"Adolescent, Adult, Childhood",Autosomal recessive,2
11,Pentasomy X syndrome,Neonatal,,3
169154,T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,Infancy,Autosomal recessive,2
370,Glycogen storage disease due to phosphorylase kinase deficiency,All ages,"Autosomal recessive, X-linked recessive",3
169150,Immunodeficiency due to a late component of complement deficiency,,Autosomal recessive,3
169160,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,Infancy,Autosomal recessive,2
385,Neurodegeneration with brain iron accumulation,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive, X-linked dominant",2
169157,T-B+ severe combined immunodeficiency due to CD45 deficiency,Infancy,Autosomal recessive,2
1947,Northern epilepsy,Childhood,Autosomal recessive,2
169147,Immunodeficiency due to a classical component pathway complement deficiency,,Autosomal recessive,3
169142,Recurrent infections due to specific granule deficiency,"Infancy, Neonatal",Autosomal recessive,1
352,Galactosemia,"Childhood, Infancy, Neonatal",Autosomal recessive,1
596,X-linked centronuclear myopathy,"Antenatal, Neonatal",X-linked recessive,3
610,Bethlem muscular dystrophy,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2
169186,Autosomal recessive centronuclear myopathy,"Childhood, Infancy, Neonatal",Autosomal recessive,1
464,Incontinentia pigmenti,Neonatal,X-linked dominant,3
3307,Tetrasomy 18p syndrome,"Antenatal, Neonatal",Not applicable,3
169189,Autosomal dominant centronuclear myopathy,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant,2
44,Neonatal adrenoleukodystrophy,"Childhood, Infancy, Neonatal",Autosomal recessive,1
56,Alkaptonuria,"Adult, Infancy",Autosomal recessive,2
963,Acromegaly,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable,2
1059,Blue rubber bleb nevus,Childhood,"Autosomal dominant, Not applicable",2
1006,Alopecia antibody deficiency,"Childhood, Infancy",Unknown,2
1046,Lethal hemolytic anemia-genital anomalies syndrome,Neonatal,Unknown,3
22,Succinic semialdehyde dehydrogenase deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive,1
29,Mevalonic aciduria,"Childhood, Infancy, Neonatal",Autosomal recessive,1
245,Nager syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable",1
30,Hereditary orotic aciduria,"Infancy, Neonatal",Autosomal recessive,1
36,Acrocallosal syndrome,"Antenatal, Neonatal",Autosomal recessive,1
915,Aarskog-Scott syndrome,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive",2
2614,Nail-patella syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2
33,Isovaleric acidemia,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1
819,Smith-Magenis syndrome,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant,2
3085,Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,Childhood,Autosomal recessive,2
9,Tetrasomy X syndrome,"Infancy, Neonatal",,2
168615,Hereditary persistence of alpha-fetoprotein,Adolescent,Autosomal dominant,3
168612,Congenital deficiency in alpha-fetoprotein,"Antenatal, Neonatal",Autosomal recessive,1
1442,Ring chromosome 18 syndrome,"Antenatal, Infancy, Neonatal",,2
168621,"Dysplasia of head of femur, Meyer type","Infancy, Neonatal",,2
1452,Cleidocranial dysplasia,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
168629,Autosomal thrombocytopenia with normal platelets,,"Autosomal dominant, Autosomal recessive",3
193,Cohen syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
168624,"Familial scaphocephaly syndrome, McGillivray type","Infancy, Neonatal",Autosomal dominant,2
1488,Cooper-Jabs syndrome,Neonatal,Autosomal recessive,1
200,Isolated corpus callosum agenesis,Antenatal,Not applicable,3
168632,Generalized basaloid follicular hamartoma syndrome,,Autosomal dominant,3
1334,Chronic mucocutaneous candidiasis,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2
168583,Hereditary North American Indian childhood cirrhosis,"Infancy, Neonatal",Autosomal recessive,1
1369,Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,"Infancy, Neonatal",Autosomal recessive,1
168577,Hereditary cryohydrocytosis with reduced stomatin,"Infancy, Neonatal",Autosomal dominant,2
168593,Sudden infant death-dysgenesis of the testes syndrome,"Infancy, Neonatal",Autosomal recessive,1
1406,Charlie M syndrome,Neonatal,Not applicable,3
168588,Hyperandrogenism due to cortisone reductase deficiency,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
168601,Congenital enteropathy due to enteropeptidase deficiency,"Infancy, Neonatal",Autosomal recessive,1
1414,Cholestasis-lymphedema syndrome,"Infancy, Neonatal",Autosomal recessive,1
168598,Methionine adenosyltransferase I/III deficiency,Infancy,Autosomal recessive,2
168606,Seborrhea-like dermatitis with psoriasiform elements,Childhood,Autosomal dominant,2
168549,Axial spondylometaphyseal dysplasia,"Childhood, Infancy",Autosomal recessive,2
168552,Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome,Infancy,Autosomal recessive,2
1154,Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,Neonatal,"Autosomal dominant, Autosomal recessive",1
168555,"Spondylometaphyseal dysplasia, A4 type",Infancy,Autosomal recessive,2
168558,"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency","Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
168563,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome","Infancy, Neonatal",Autosomal recessive,1
124,Diamond-Blackfan anemia,"Childhood, Infancy, Neonatal",Autosomal dominant,2
168566,Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,"Infancy, Neonatal",Autosomal recessive,1
1310,Caffey disease,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Unknown",2
168569,H syndrome,Childhood,Autosomal recessive,2
168572,Native American myopathy,"Infancy, Neonatal",Autosomal recessive,1
125,Bloom syndrome,"Antenatal, Neonatal",Autosomal recessive,1
90,Argininemia,"Childhood, Infancy",Autosomal recessive,2
168443,Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome,"Infancy, Neonatal",,2
1065,Aniridia-cerebellar ataxia-intellectual disability syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable",1
168451,Spondyloepimetaphyseal dysplasia-abnormal dentition syndrome,Infancy,,2
168454,"Spondyloepimetaphyseal dysplasia, Geneviève type",Infancy,Autosomal recessive,2
1146,Distal arthrogryposis type 1,"Antenatal, Neonatal",Autosomal dominant,3
1143,Neurogenic arthrogryposis multiplex congenita,Neonatal,Autosomal recessive,1
168544,"Spondylometaphyseal dysplasia, Golden type",No data available,X-linked recessive,3
1147,Sheldon-Hall syndrome,Neonatal,"Autosomal dominant, Not applicable",3
246,Postaxial acrofacial dysostosis,"Antenatal, Neonatal",Autosomal recessive,1
1770,XY type gonadal dysgenesis-associated anomalies syndrome,Neonatal,Autosomal recessive,1
1775,Dyskeratosis congenita,"Adolescent, Adult, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1
1764,Familial dysautonomia,"Childhood, Infancy, Neonatal",Autosomal recessive,1
235,Dubowitz syndrome,"Antenatal, Neonatal",Autosomal recessive,1
239,Dyggve-Melchior-Clausen disease,Infancy,Autosomal recessive,2
1672,Diencephalic syndrome,"Adolescent, Adult, Childhood, Infancy",Not applicable,2
833,Encephalopathy due to sulfite oxidase deficiency,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
167635,Scleromyxedema,Adult,,3
765,Pyruvate dehydrogenase deficiency,"Childhood, Infancy, Neonatal","Autosomal recessive, Not applicable, X-linked dominant",1
395,Homocystinuria due to methylene tetrahydrofolate reductase deficiency,"Infancy, Neonatal",Autosomal recessive,1
408,Isolated glycerol kinase deficiency,All ages,X-linked recessive,3
148,Multiple carboxylase deficiency,"Infancy, Neonatal",Autosomal recessive,1
147,Carbamoyl-phosphate synthetase 1 deficiency,All ages,Autosomal recessive,3
23,Argininosuccinic aciduria,All ages,Autosomal recessive,3
45,Adenosine monophosphate deaminase deficiency,All ages,Autosomal recessive,3
226,Dihydropteridine reductase deficiency,"Infancy, Neonatal",Autosomal recessive,1
217,Isolated Dandy-Walker malformation,"Antenatal, Neonatal",Multigenic/multifactorial,3
1556,Cutis marmorata telangiectatica congenita,Neonatal,Not applicable,3
1538,Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,Infancy,Autosomal dominant,2
1496,Corpus callosum agenesis-neuronopathy syndrome,"Antenatal, Neonatal",Autosomal recessive,1
417,Neonatal severe primary hyperparathyroidism,Neonatal,"Autosomal recessive, Not applicable",1
2233,Hypogonadism-mitral valve prolapse-intellectual disability syndrome,Infancy,Unknown,2
2248,Hypoplastic left heart syndrome,"Antenatal, Neonatal",Unknown,3
446,Neonatal hemochromatosis,Neonatal,Autosomal recessive,1
2135,Cutaneous mastocytosis-deafness-microtia syndrome,"Infancy, Neonatal",Autosomal recessive,1
2140,Congenital diaphragmatic hernia,Neonatal,"Multigenic/multifactorial, Not applicable",3
2185,Congenital hydrocephalus,Antenatal,Not applicable,3
2116,Hartnup disease,All ages,Autosomal recessive,3
2118,Hawkinsinuria,"Infancy, Neonatal",Autosomal dominant,2
351,Galactosialidosis,All ages,Autosomal recessive,3
2020,Congenital fiber-type disproportion myopathy,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1
2053,Freeman-Sheldon syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
1931,Frontal encephalocele,"Antenatal, Infancy, Neonatal",,2
295,Fetal parvovirus syndrome,"Antenatal, Neonatal",Not applicable,3
1933,"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",Infancy,Mitochondrial inheritance,2
1880,Ebstein malformation of the tricuspid valve,All ages,"Autosomal dominant, Not applicable",3
255,Dopa-responsive dystonia,Childhood,"Autosomal dominant, Autosomal recessive, Not applicable",2
1915,Fetal alcohol syndrome,"Antenatal, Neonatal",Not applicable,3
1885,Isolated ectopia lentis,All ages,"Autosomal dominant, Autosomal recessive",3
1851,Multicystic dysplastic kidney,"Infancy, Neonatal",Not applicable,2
660,Omphalocele,Antenatal,Not applicable,3
635,Neuroblastoma,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Not applicable,2
2612,Linear nevus sebaceus syndrome,"Childhood, Infancy, Neonatal",Not applicable,2
2635,Metatropic dysplasia,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
2655,Thanatophoric dysplasia,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
606,Proximal myotonic myopathy,"Adolescent, Adult, Elderly",Autosomal dominant,3
705,Pendred syndrome,"Infancy, Neonatal",Autosomal recessive,1
2801,Juvenile Paget disease,Childhood,Autosomal recessive,2
884,Pallister-Killian syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3
2785,Osteopetrosis with renal tubular acidosis,"Infancy, Neonatal",Autosomal recessive,1
2744,Horizontal gaze palsy with progressive scoliosis,"Adolescent, Childhood",Autosomal recessive,2
2746,Opsismodysplasia,Neonatal,Autosomal recessive,1
2971,Peroxisomal acyl-CoA oxidase deficiency,Neonatal,Autosomal recessive,1
2970,Prune belly syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable, X-linked recessive",3
744,Proteus syndrome,Infancy,Not applicable,2
2903,Familial spontaneous pneumothorax,"Adolescent, Adult",Autosomal dominant,3
2901,Neuralgic amyotrophy,Adult,"Autosomal dominant, Not applicable",3
718,Isolated Pierre Robin sequence,"Antenatal, Neonatal","Autosomal dominant, Multigenic/multifactorial, Not applicable, Unknown",3
290,Congenital rubella syndrome,"Antenatal, Neonatal",Not applicable,3
3071,Costello syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3
763,Pycnodysostosis,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2
2983,Difference of sex development-intellectual disability syndrome,Neonatal,Unknown,3
2301,Congenital short bowel syndrome,"Infancy, Neonatal","Autosomal recessive, X-linked recessive",1
469,Hereditary fructose intolerance,All ages,Autosomal recessive,3
2308,Jacobsen syndrome,Antenatal,"Not applicable, Unknown",3
2318,Joubert syndrome with oculorenal defect,"Infancy, Neonatal",Autosomal recessive,1
2253,Foveal hypoplasia-presenile cataract syndrome,Adult,Autosomal dominant,3
180188,Isolated congenital breast hypoplasia/aplasia,,Autosomal recessive,3
2300,Isolated multiple intestinal atresia,"Antenatal, Neonatal",Autosomal recessive,1
180226,Embryonal carcinoma,"Adolescent, Childhood",Not applicable,2
502,Trichorhinophalangeal syndrome type 2,"Childhood, Infancy, Neonatal",Autosomal dominant,2
180229,Polyembryoma,"Adolescent, Adult",Not applicable,3
2370,Larsen-like osseous dysplasia-short stature syndrome,Neonatal,,3
477,KID syndrome,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable",1
180247,Vaginal carcinoma,"Adult, Elderly",,3
506,Leigh syndrome,All ages,"Autosomal recessive, Mitochondrial inheritance, X-linked recessive",3
2430,Congenital macroglossia,Neonatal,,3
2414,Congenital pulmonary lymphangiectasia,Neonatal,Autosomal recessive,1
