OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
290,Congenital rubella syndrome,"Antenatal, Neonatal",Not applicable
3071,Costello syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
763,Pycnodysostosis,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
2983,Difference of sex development-intellectual disability syndrome,Neonatal,Unknown
2301,Congenital short bowel syndrome,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
2308,Jacobsen syndrome,Antenatal,"Not applicable, Unknown"
2318,Joubert syndrome with oculorenal defect,"Infancy, Neonatal",Autosomal recessive
2300,Isolated multiple intestinal atresia,"Antenatal, Neonatal",Autosomal recessive
180226,Embryonal carcinoma,"Adolescent, Childhood",Not applicable
502,Trichorhinophalangeal syndrome type 2,"Childhood, Infancy, Neonatal",Autosomal dominant
2370,Larsen-like osseous dysplasia-short stature syndrome,Neonatal,
477,KID syndrome,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable"
2430,Congenital macroglossia,Neonatal,
2414,Congenital pulmonary lymphangiectasia,Neonatal,Autosomal recessive
2373,Congenital laryngomalacia,"Infancy, Neonatal",
180234,Mixed germ cell tumor,"Adolescent, Adult, Childhood",Not applicable
2377,Laurence-Moon syndrome,Neonatal,Autosomal recessive
2374,Isolated congenital laryngeal web,"Infancy, Neonatal",
2466,MASA syndrome,Neonatal,X-linked recessive
560,Marshall syndrome,Neonatal,"Autosomal dominant, Autosomal recessive"
570,Moebius syndrome,"Antenatal, Neonatal",Autosomal dominant
1505,Short rib-polydactyly syndrome,"Antenatal, Neonatal",Autosomal recessive
2444,Congenital pulmonary airway malformation,"Adolescent, Adult, Antenatal, Neonatal",Not applicable
612,Potassium-aggravated myotonia,Childhood,Autosomal dominant
179494,Obesity due to leptin receptor gene deficiency,"Childhood, Infancy",Autosomal recessive
716,Phenylketonuria,Infancy,Autosomal recessive
287,Classical Ehlers-Danlos syndrome,"Childhood, Infancy, Neonatal",Autosomal dominant
63,Alport syndrome,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive, X-linked dominant"
54,X-linked recessive ocular albinism,"Infancy, Neonatal",X-linked recessive
84,Fanconi anemia,Childhood,"Autosomal recessive, X-linked recessive"
834,Free sialic acid storage disease,"Antenatal, Infancy, Neonatal",Autosomal recessive
3151,Multiple sclerosis-ichthyosis-factor VIII deficiency syndrome,Childhood,Unknown
813,Silver-Russell syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
3169,Sirenomelia,"Antenatal, Neonatal",Not applicable
816,Sjögren-Larsson syndrome,"Infancy, Neonatal",Autosomal recessive
821,Sotos syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
3173,Infantile spasms-broad thumbs syndrome,Neonatal,
3205,Sturge-Weber syndrome,"Antenatal, Neonatal",Not applicable
3320,Thrombocytopenia-absent radius syndrome,"Antenatal, Neonatal",Autosomal recessive
3346,Tracheal agenesis,"Antenatal, Neonatal",Unknown
858,Congenital toxoplasmosis,"Antenatal, Infancy, Neonatal",Not applicable
887,VACTERL/VATER association,"Antenatal, Neonatal",Not applicable
291,Congenital varicella syndrome,"Antenatal, Neonatal",Not applicable
909,Cerebrotendinous xanthomatosis,"Infancy, Neonatal",Autosomal recessive
3447,Weaver syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
1422,Chondrodysplasia-difference of sex development syndrome,"Antenatal, Neonatal",Autosomal recessive
178478,Infant botulism,"Infancy, Neonatal",
178469,Autosomal dominant non-syndromic intellectual disability,"Childhood, Infancy",Autosomal dominant
178382,Congenital vertical talus,"Infancy, Neonatal",Autosomal dominant
178389,Osteopetrosis-hypogammaglobulinemia syndrome,"Infancy, Neonatal",Autosomal recessive
62,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3,"Adolescent, Childhood",Autosomal recessive
178364,Syndromic microphthalmia type 5,"Antenatal, Neonatal",Autosomal dominant
178377,Osteosclerosis-developmental delay-craniosynostosis syndrome,"Infancy, Neonatal",Autosomal dominant
178345,Aromatase excess syndrome,"Adolescent, Childhood",Autosomal dominant
178355,Smith-McCort dysplasia,Childhood,Autosomal recessive
178338,UV-sensitive syndrome,Infancy,Autosomal recessive
3137,Alpha-N-acetylgalactosaminidase deficiency,"Adult, Childhood, Infancy",Autosomal recessive
117,Behçet disease,"Adolescent, Adult, Childhood",Multigenic/multifactorial
598,Multiminicore myopathy,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
178506,Interstitial lung disease-brain calcification syndrome,"Adolescent, Adult, Childhood, Elderly",Autosomal recessive
581,Mucopolysaccharidosis type 3,Childhood,Autosomal recessive
178029,Arginine vasopressin deficiency,Childhood,"Autosomal dominant, Autosomal recessive, X-linked dominant"
177901,Prader-Willi syndrome due to paternal deletion of 15q11q13 type 1,"Antenatal, Neonatal",Autosomal dominant
177904,Prader-Willi syndrome due to paternal deletion of 15q11q13 type 2,"Antenatal, Neonatal",Autosomal dominant
177907,Prader-Willi syndrome due to translocation,"Antenatal, Neonatal",Not applicable
177910,Prader-Willi syndrome due to imprinting mutation,"Antenatal, Neonatal",Not applicable
364,Glycogen storage disease due to glucose-6-phosphatase deficiency,"Infancy, Neonatal",Autosomal recessive
388,Hirschsprung disease,"Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Multigenic/multifactorial, Not applicable"
448,Hemophilia,"Antenatal, Infancy, Neonatal",X-linked recessive
304,Epidermolysis bullosa simplex,"Adolescent, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
174590,Congenital hypogonadotropic hypogonadism,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
354,GM1 gangliosidosis,Childhood,Autosomal recessive
178333,Åland Islands eye disease,"Infancy, Neonatal",X-linked recessive
760,Purine nucleoside phosphorylase deficiency,"Adolescent, Childhood, Infancy",Autosomal recessive
178303,8q22.1 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown"
244,Primary ciliary dyskinesia,Neonatal,"Autosomal dominant, Autosomal recessive, X-linked recessive"
178148,Antenatal multiminicore disease with arthrogryposis multiplex congenita,Antenatal,
178307,Reticulate acropigmentation of Kitamura,"Adolescent, Adult, Childhood",Autosomal dominant
886,Usher syndrome,"Childhood, Infancy, Neonatal",Autosomal recessive
178145,Moderate multiminicore disease with hand involvement,"Childhood, Infancy, Neonatal",Autosomal dominant
3440,Waardenburg syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
768,Congenital long QT syndrome,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive"
791,Retinitis pigmentosa,"Adolescent, Adult, Childhood","Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, X-linked recessive"
1164,Allergic bronchopulmonary aspergillosis,Childhood,Not applicable
761,Immunoglobulin A vasculitis,Childhood,Not applicable
2131,Alternating hemiplegia of childhood,"Infancy, Neonatal","Autosomal dominant, Not applicable"
713,Glycogen storage disease due to phosphoglycerate kinase 1 deficiency,"Adolescent, Adult, Childhood",X-linked recessive
57,Glycogen storage disease due to aldolase A deficiency,Neonatal,Autosomal recessive
249,Fibrous dysplasia of bone,"Adolescent, Adult, Childhood",Not applicable
2334,Autosomal dominant keratitis,Childhood,Autosomal dominant
755,Leydig cell hypoplasia,Neonatal,
171929,Trisomy 10p syndrome,"Infancy, Neonatal",
187,Citrullinemia,"Adult, Neonatal",Autosomal recessive
46,Adenylosuccinate lyase deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive
442,Congenital hypothyroidism,"Antenatal, Neonatal",Autosomal recessive
43,X-linked adrenoleukodystrophy,"Adolescent, Adult, Childhood, Elderly",X-linked dominant
3166,Sialuria,Infancy,Autosomal dominant
727,Microscopic polyangiitis,"Adult, Childhood",Not applicable
900,Granulomatosis with polyangiitis,"Adolescent, Adult, Childhood, Elderly",Not applicable
134,Beta-ketothiolase deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive
171703,Microcephaly-polymicrogyria-corpus callosum agenesis syndrome,"Antenatal, Neonatal",Autosomal recessive
171706,Short stature-delayed bone age due to thyroid hormone metabolism deficiency,"Childhood, Infancy",Autosomal recessive
171719,Cutis laxa-Marfanoid syndrome,"Infancy, Neonatal",
171673,Limbal stem cell deficiency,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable
511,Maple syrup urine disease,"Childhood, Infancy, Neonatal",Autosomal recessive
171680,Lissencephaly due to TUBA1A mutation,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
32,Glutathione synthetase deficiency,Neonatal,Autosomal recessive
171863,Autosomal dominant spastic paraplegia type 42,"Adolescent, Adult, Childhood",Autosomal dominant
171871,Renal pseudohypoaldosteronism type 1,"Infancy, Neonatal",Autosomal dominant
322,Exstrophy-epispadias complex,"Antenatal, Neonatal",Multigenic/multifactorial
171866,"Spondyloepimetaphyseal dysplasia, aggrecan type","Infancy, Neonatal",Autosomal recessive
2368,Gastroschisis,Antenatal,Not applicable
171881,Cap myopathy,"Childhood, Infancy, Neonatal",Autosomal dominant
2512,Autosomal recessive primary microcephaly,"Antenatal, Neonatal",Autosomal recessive
171876,Generalized pseudohypoaldosteronism type 1,"Infancy, Neonatal",Autosomal recessive
797,Sarcoidosis,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial
92,Juvenile idiopathic arthritis,Childhood,
171829,6q16 microdeletion syndrome,"Antenatal, Infancy, Neonatal",Unknown
1201,Small bowel atresia,Antenatal,"Autosomal recessive, Not applicable, Unknown"
171844,Blindness-scoliosis-arachnodactyly syndrome,"Adolescent, Childhood",Autosomal dominant
171839,Craniosynostosis-hydrocephalus-Arnold-Chiari malformation type I-radioulnar synostosis syndrome,Neonatal,
1199,Esophageal atresia,Neonatal,Not applicable
171851,MEDNIK syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive
171848,Polyneuropathy-hearing loss-ataxia-retinitis pigmentosa-cataract syndrome,Childhood,Autosomal recessive
3303,Tetralogy of Fallot,"Antenatal, Neonatal","Autosomal dominant, Multigenic/multifactorial"
200418,Immunodeficiency with factor I anomaly,"Adolescent, Adult, Childhood",Autosomal recessive
730,Autosomal dominant polycystic kidney disease,"Adolescent, Adult, Childhood",Autosomal dominant
486,Autosomal dominant severe congenital neutropenia,"Infancy, Neonatal",Autosomal dominant
1209,Tricuspid atresia,"Antenatal, Neonatal",Not applicable
98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive
1478,Interatrial communication,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Not applicable"
1959,Evans syndrome,"Adult, Childhood",Not applicable
1177,Early-onset cerebellar ataxia with retained tendon reflexes,"Adolescent, Adult, Childhood",Autosomal recessive
828,Stickler syndrome,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive"
1431,Paroxysmal dyskinesia,Childhood,"Autosomal dominant, Not applicable"
199340,BAG3-related myofibrillar myopathy,"Adolescent, Childhood",Autosomal dominant
293,Congenital herpes simplex virus infection,"Antenatal, Neonatal",Not applicable
199337,Pancreatic insufficiency-anemia-hyperostosis syndrome,"Infancy, Neonatal",Autosomal recessive
199343,EAST syndrome,"Infancy, Neonatal",Autosomal recessive
199326,"Isolated autosomal dominant hypomagnesemia, Glaudemans type","Infancy, Neonatal",Autosomal dominant
1928,Congenital lobar emphysema,"Adult, Childhood, Infancy, Neonatal",Not applicable
199332,Endocrine-cerebro-osteodysplasia syndrome,"Infancy, Neonatal",Autosomal recessive
199329,"Congenital myopathy, Paradas type","Infancy, Neonatal",Autosomal recessive
2665,Congenital mesoblastic nephroma,"Infancy, Neonatal",
3463,Wolfram syndrome,"Adolescent, Adult, Childhood",Autosomal recessive
199642,Isolated congenital microcephaly,"Antenatal, Neonatal",
704,Pemphigus vulgaris,"Adult, Childhood, Elderly",Not applicable
199293,Congenital microgastria,"Antenatal, Infancy, Neonatal",
199285,Hereditary hypercarotenemia and vitamin A deficiency,"Childhood, Infancy",Autosomal dominant
2331,Kawasaki disease,"Adolescent, Adult, Childhood, Infancy",Multigenic/multifactorial
199276,Familial multiple lipomatosis,"Adolescent, Adult, Infancy",
2102,GTP cyclohydrolase I deficiency,"Infancy, Neonatal",Autosomal recessive
199267,Infantile digital fibromatosis,"Childhood, Infancy, Neonatal",
199315,Familial clubfoot with or without associated lower limb anomalies,"Infancy, Neonatal",Autosomal dominant
2040,Congenital respiratory-biliary fistula,Childhood,Not applicable
199318,15q13.3 microdeletion syndrome,Childhood,"Autosomal dominant, Not applicable"
199310,Tetragametic chimerism syndrome,"Infancy, Neonatal","Not applicable, Unknown"
1195,Congenital atransferrinemia,"Childhood, Infancy",Autosomal recessive
199302,Isolated cleft lip,"Infancy, Neonatal",Multigenic/multifactorial
199306,Cleft lip/palate,"Infancy, Neonatal",Multigenic/multifactorial
199296,Congenital isolated ACTH deficiency,Neonatal,Autosomal recessive
1531,Craniosynostosis,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable, Unknown, X-linked recessive"
976,Adenine phosphoribosyltransferase deficiency,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal recessive
415,Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive
13,6-pyruvoyl-tetrahydropterin synthase deficiency,"Infancy, Neonatal",Autosomal recessive
2494,Ménétrier disease,"Adolescent, Adult, Childhood","Autosomal dominant, Not applicable, Unknown"
171,Primary sclerosing cholangitis,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial
17,Fatal infantile lactic acidosis with methylmalonic aciduria,"Infancy, Neonatal",Autosomal recessive
3006,Pyridoxine-dependent-developmental and epileptic encephalopathy,"Antenatal, Infancy, Neonatal",Autosomal recessive
780,Rhabdomyosarcoma,Childhood,Multigenic/multifactorial
2382,Lennox-Gastaut syndrome,"Childhood, Infancy","Autosomal dominant, Multigenic/multifactorial, Not applicable"
1934,Early infantile developmental and epileptic encephalopathy,Neonatal,"Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive"
1942,Epilepsy with myoclonic-atonic seizures,Childhood,Unknown
1943,Early-onset progressive encephalopathy with migrant continuous myoclonus,Childhood,Unknown
267,Calpain-3-related limb-girdle muscular dystrophy R1,"Adolescent, Adult, Childhood",Autosomal recessive
1329,Complete atrioventricular septal defect,"Infancy, Neonatal",Not applicable
582,Mucopolysaccharidosis type 4,"Childhood, Infancy",Autosomal recessive
2137,Autoimmune hepatitis,"Adolescent, Adult, Childhood, Elderly",Not applicable
2932,Chronic inflammatory demyelinating polyneuropathy,"Adolescent, Adult, Childhood, Elderly",Not applicable
2398,Multiple symmetric lipomatosis,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive, Mitochondrial inheritance, Not applicable"
3198,Stiff person spectrum disorder,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable
2929,Juvenile polyposis syndrome,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant
654,Nephroblastoma,Childhood,"Autosomal dominant, Not applicable"
2312,Transient familial neonatal hyperbilirubinemia,Neonatal,
183707,Infantile LAD-like disease due to RAC2 deficiency,"Infancy, Neonatal",Autosomal dominant
2314,Autosomal dominant hyper-IgE syndrome due to STAT3 deficiency,"Infancy, Neonatal",Autosomal dominant
183678,Hermansky-Pudlak syndrome due to AP-3 deficiency,Neonatal,Autosomal recessive
449,Hepatoblastoma,"Childhood, Infancy, Neonatal",Not applicable
183675,Recurrent infections associated with rare immunoglobulin isotypes deficiency,Childhood,Unknown
2177,Hydranencephaly,"Antenatal, Neonatal","Autosomal recessive, Unknown"
2380,Legg-Calvé-Perthes disease,Childhood,"Autosomal dominant, Multigenic/multifactorial"
677,Pancreatoblastoma,"Adult, Childhood",Not applicable
183660,Severe combined immunodeficiency,"Infancy, Neonatal","Autosomal recessive, X-linked recessive"
897,Waardenburg-Shah syndrome,Neonatal,"Autosomal dominant, Autosomal recessive"
808,Seckel syndrome,Antenatal,Autosomal recessive
3027,Caudal regression syndrome,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable"
676,Autosomal dominant hereditary chronic pancreatitis,"Adolescent, Childhood",Autosomal dominant
643,Giant axonal neuropathy,"Childhood, Infancy",Autosomal recessive
634,Netherton syndrome,"Infancy, Neonatal",Autosomal recessive
140,Campomelic dysplasia,"Antenatal, Neonatal",Autosomal dominant
642,Hereditary sensory and autonomic neuropathy type 4,"Childhood, Infancy, Neonatal",Autosomal recessive
627,Nance-Horan syndrome,Neonatal,X-linked dominant
638,Neurofibromatosis-Noonan syndrome,"Infancy, Neonatal",Autosomal dominant
526,Liddle syndrome,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant
