OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance
226,Dihydropteridine reductase deficiency,"Infancy, Neonatal",Autosomal recessive
217,Isolated Dandy-Walker malformation,"Antenatal, Neonatal",Multigenic/multifactorial
1556,Cutis marmorata telangiectatica congenita,Neonatal,Not applicable
1538,Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,Infancy,Autosomal dominant
1496,Corpus callosum agenesis-neuronopathy syndrome,"Antenatal, Neonatal",Autosomal recessive
417,Neonatal severe primary hyperparathyroidism,Neonatal,"Autosomal recessive, Not applicable"
2233,Hypogonadism-mitral valve prolapse-intellectual disability syndrome,Infancy,Unknown
2248,Hypoplastic left heart syndrome,"Antenatal, Neonatal",Unknown
446,Neonatal hemochromatosis,Neonatal,Autosomal recessive
2135,Cutaneous mastocytosis-deafness-microtia syndrome,"Infancy, Neonatal",Autosomal recessive
2140,Congenital diaphragmatic hernia,Neonatal,"Multigenic/multifactorial, Not applicable"
2185,Congenital hydrocephalus,Antenatal,Not applicable
2118,Hawkinsinuria,"Infancy, Neonatal",Autosomal dominant
2020,Congenital fiber-type disproportion myopathy,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive"
2053,Freeman-Sheldon syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive"
1931,Frontal encephalocele,"Antenatal, Infancy, Neonatal",
295,Fetal parvovirus syndrome,"Antenatal, Neonatal",Not applicable
1933,"Mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria",Infancy,Mitochondrial inheritance
255,Dopa-responsive dystonia,Childhood,"Autosomal dominant, Autosomal recessive, Not applicable"
1915,Fetal alcohol syndrome,"Antenatal, Neonatal",Not applicable
1851,Multicystic dysplastic kidney,"Infancy, Neonatal",Not applicable
660,Omphalocele,Antenatal,Not applicable
635,Neuroblastoma,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Not applicable
2612,Linear nevus sebaceus syndrome,"Childhood, Infancy, Neonatal",Not applicable
2635,Metatropic dysplasia,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
2655,Thanatophoric dysplasia,"Antenatal, Neonatal","Autosomal dominant, Not applicable"
705,Pendred syndrome,"Infancy, Neonatal",Autosomal recessive
2801,Juvenile Paget disease,Childhood,Autosomal recessive
884,Pallister-Killian syndrome,"Antenatal, Neonatal","Not applicable, Unknown"
2785,Osteopetrosis with renal tubular acidosis,"Infancy, Neonatal",Autosomal recessive
2744,Horizontal gaze palsy with progressive scoliosis,"Adolescent, Childhood",Autosomal recessive
2746,Opsismodysplasia,Neonatal,Autosomal recessive
2971,Peroxisomal acyl-CoA oxidase deficiency,Neonatal,Autosomal recessive
2970,Prune belly syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable, X-linked recessive"
744,Proteus syndrome,Infancy,Not applicable
718,Isolated Pierre Robin sequence,"Antenatal, Neonatal","Autosomal dominant, Multigenic/multifactorial, Not applicable, Unknown"
